,P,AL,C,NI,WH,L,PP,PF,SF,TA,ZN,RB,AU,RM,OI,CS,WR,SP,CU,LR,CF,RR,FB,I,A,SS,RU,JD,M,JM,BC,J,LH,Y,MA,CJ,PG,FU,HC,BU,EG,FG,RS,SM,ZC,AP,SR,V,SA,SN,UR,BB,NR,B,LU,PK,AG,PB,EB,JR,SI,RI,CY,SC
2010-01-26,6658.847177061779,17115.0,1840.162558993183,,,11905.0,,,,8271.667737494263,19443.2789770061,4586.0,244.36817573419415,,,,4296.0,,59201.6755620249,,16223.175965665236,,,,3823.0,,24385.0,,2851.089005235602,,,,,7436.267786820687,,,,4570.0,,,,,,,,,5250.0,7653.361528822054,,,,,,3905.0,,,,,,,,,,
2010-01-27,6697.127992905705,17149.837161965686,1844.1520713162033,,,11675.0,,,,8132.763194125746,19492.891834819333,4612.0,245.29737028580425,,,,4320.0,,59511.47501213003,,16259.388412017168,,,,3846.0,,24180.0,,2859.2146596858643,,,,,7502.163822525597,,,,4582.0,,,,,,,,,5226.0,7624.05701754386,,,,,,3905.0,,,,,,,,,,
2010-01-28,6636.684599467927,16438.163710380926,1827.1966439433666,,,11530.0,,,,8083.853143643873,18530.40239324261,4594.0,242.78954413038343,,,,4310.0,,57502.77535177098,,16140.404659717964,,,,3789.0,,23520.0,,2820.617801047121,,,,,7426.28353898661,,,,4593.0,,,,,,,,,5029.0,7550.79573934837,,,,,,3905.0,,,,,,,,,,
2010-01-29,6590.344664498964,16174.396626926433,1831.186156266387,,,11555.0,,,,8107.329967875172,17736.59666823088,4607.0,240.8112589559877,,,,4301.0,,55474.08863011483,,16150.751072961373,,,,3777.0,,23425.0,,2820.617801047121,,,,,7380.355998949855,,,,4543.0,,,,,,,,,4945.0,7560.563909774436,,,,,,3905.0,,,,,,,,,,
2010-02-01,6560.122967780077,16318.722012212853,1822.2097535395908,,,11445.0,,,,7995.815052776503,17419.074378226185,4592.0,240.59144949216596,,,,4300.0,,54464.74203461103,,16228.34917228694,,,,3715.0,,23480.0,,2766.785340314136,,,,,7320.4505119453925,,,,4450.0,,,,,,,,,4978.0,7516.607142857142,,,,,,3800.0,,,,,,,,,,
2010-02-02,6503.7091339048175,16393.3730735679,1814.23072889355,,,11310.0,,,,8003.640660853603,17349.616377287657,4417.0,246.22656483741437,,,,4155.0,,54244.884360342876,,16036.940527283876,,,,3678.0,,23460.0,,2756.628272251309,,,,,7306.472564977685,,,,4472.0,,,,,,,,,4976.0,7457.998120300752,,,,,,3667.869281045752,,,,,,,,,,
2010-02-03,6664.891516405557,16761.651642919453,1845.1494493969585,,,11585.0,,,,8193.411656723267,18193.03496011262,4482.0,248.18486733328083,,,,4210.0,,55853.842794759825,,16305.947271612507,,,,3724.0,,24080.0,,2788.1151832460737,,,,,7440.261485954319,,,,4538.0,,,,,,,,,5097.0,7619.172932330826,,,,,,3800.0,,,,,,,,,,
2010-02-04,6614.522021874076,16577.512358243675,1824.2045097011012,,,11510.0,,,,8156.240018357044,17686.983810417645,4435.0,246.316486890796,,,,4168.0,,54005.039624777615,,16300.774064990803,,,,3697.0,,23545.0,,2776.9424083769636,,,,,7372.368600682594,,,,4498.0,,,,,,,,,5048.0,7580.100250626566,,,,,,3795.0326797385624,,,,,,,,,,
2010-02-05,6630.64026012415,16338.628961907532,1826.1992658626114,,,11270.0,,,,8060.376319412575,17126.35851712811,4415.0,236.77475789307925,,,,4158.0,,52076.28820960699,,16269.734825260577,,,,3727.0,,22500.0,,2769.8324607329846,,,,,7376.362299816225,,,,4376.0,,,,,,,,,4986.0,7492.18671679198,,,,,,3832.7843137254904,,,,,,,,,,
2010-02-08,6729.364469405852,16363.51264902588,1826.1992658626114,,,11270.0,,,,8070.1583295089495,17195.816518066636,4432.0,237.47415164160302,,,,4155.0,,52695.88710981724,,16047.286940527285,,,,3754.0,,22310.0,,2785.0680628272253,,,,,7462.2268311892885,,,,4390.0,,,,,,,,,4997.0,7580.100250626566,,,,,,3924.526491447643,,,,,,,,,,
